"altersklasse_covid19","geoRegion","datum","entries","sumTotal","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_28d","timeframe_14d"
"20 - 29","CH",202016,9,105,0.041,4.1,1045350,0.86,10.04,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-16",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202017,3,108,0.028,2.8,1045350,0.29,10.33,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-17",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202018,3,111,0.047,4.7,1045350,0.29,10.62,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-18",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202019,0,111,0,0,1045350,0,10.62,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-19",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202020,1,112,0.04,4,1045350,0.1,10.71,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-20",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202021,0,112,0,0,1045350,0,10.71,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-21",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202022,3,115,0.158,15.8,1045350,0.29,11,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-22",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202023,0,115,0,0,1045350,0,11,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-23",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202024,0,115,0,0,1045350,0,11,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-24",TRUE,TRUE,FALSE,FALSE,FALSE
"20 - 29","CH",202025,2,117,0.118,11.8,1045350,0.19,11.19,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-25",TRUE,TRUE,FALSE,FALSE,FALSE
"20 - 29","CH",202026,3,120,0.176,17.6,1045350,0.29,11.48,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-26",TRUE,TRUE,FALSE,FALSE,FALSE
"20 - 29","CH",202027,8,128,0.211,21.1,1045350,0.77,12.24,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-27",TRUE,TRUE,FALSE,FALSE,FALSE
"20 - 29","CH",202028,1,129,0.019,1.9,1045350,0.1,12.34,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-28",TRUE,TRUE,FALSE,FALSE,FALSE
"20 - 29","CH",202029,1,130,0.029,2.9,1045350,0.1,12.44,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-29",TRUE,TRUE,FALSE,FALSE,FALSE
"20 - 29","CH",202030,1,131,0.017,1.7,1045350,0.1,12.53,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-30",TRUE,TRUE,FALSE,FALSE,FALSE
"20 - 29","CH",202031,7,138,0.115,11.5,1045350,0.67,13.2,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-31",TRUE,TRUE,FALSE,FALSE,FALSE
"20 - 29","CH",202032,1,139,0.02,2,1045350,0.1,13.3,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-32",TRUE,TRUE,FALSE,FALSE,FALSE
"20 - 29","CH",202033,5,144,0.094,9.4,1045350,0.48,13.78,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-33",TRUE,TRUE,FALSE,FALSE,FALSE
"20 - 29","CH",202034,2,146,0.039,3.9,1045350,0.19,13.97,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-34",TRUE,TRUE,FALSE,FALSE,FALSE
"20 - 29","CH",202035,2,148,0.045,4.5,1045350,0.19,14.16,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-35",TRUE,TRUE,FALSE,FALSE,FALSE
"20 - 29","CH",202036,6,154,0.083,8.3,1045350,0.57,14.73,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-36",TRUE,TRUE,FALSE,FALSE,FALSE
"20 - 29","CH",202037,4,158,0.04,4,1045350,0.38,15.11,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-37",TRUE,TRUE,FALSE,FALSE,FALSE
"20 - 29","CH",202038,1,159,0.01,1,1045350,0.1,15.21,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-38",TRUE,TRUE,FALSE,FALSE,FALSE
"20 - 29","CH",202039,1,160,0.009,0.9,1045350,0.1,15.31,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-39",TRUE,TRUE,FALSE,FALSE,FALSE
"20 - 29","CH",202040,1,161,0.006,0.6,1045350,0.1,15.4,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-40",TRUE,TRUE,TRUE,FALSE,FALSE
"20 - 29","CH",202041,4,165,0.015,1.5,1045350,0.38,15.78,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-41",TRUE,TRUE,TRUE,FALSE,FALSE
"20 - 29","CH",202042,7,172,0.011,1.1,1045350,0.67,16.45,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-42",TRUE,TRUE,TRUE,FALSE,FALSE
"20 - 29","CH",202043,11,183,0.009,0.9,1045350,1.05,17.51,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-43",TRUE,TRUE,TRUE,FALSE,FALSE
"20 - 29","CH",202044,20,203,0.013,1.3,1045350,1.91,19.42,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-44",TRUE,TRUE,TRUE,FALSE,FALSE
