"sex","geoRegion","datum","entries","sumTotal","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_28d","timeframe_14d"
"female","CH",202101,150,3596,0.434,43.4,4337170,3.46,82.91,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2021-01",TRUE,TRUE,TRUE,TRUE,TRUE
"female","CH",202102,64,3660,0.418,41.8,4337170,1.48,84.39,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2021-02",FALSE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202009,0,0,NA,NA,NA,NA,NA,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-09",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202010,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-10",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202011,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-11",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202012,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-12",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202013,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-13",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202014,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-14",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202015,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-15",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202016,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-16",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202017,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-17",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202018,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-18",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202019,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-19",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202020,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-20",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202021,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-21",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202022,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-22",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202023,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-23",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202024,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-24",TRUE,TRUE,FALSE,FALSE,FALSE
"unknown","CH",202025,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-25",TRUE,TRUE,FALSE,FALSE,FALSE
"unknown","CH",202026,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-26",TRUE,TRUE,FALSE,FALSE,FALSE
"unknown","CH",202027,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-27",TRUE,TRUE,FALSE,FALSE,FALSE
"unknown","CH",202028,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-28",TRUE,TRUE,FALSE,FALSE,FALSE
